,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
813,goodeggs/grunt-pagekite,154030,NPM,grunt-pagekite,2,goodeggs,grunt-pagekite,7025306,0,1757,2,2,13,0,64,0,127,86,5,64,1
65,vbuterin/pybitcointools,33445,Pypi,bitcoin,1,vbuterin,pybitcointools,4984561,0,1887,1076,13,219,52,0,0,0,0,0,0,1
821,Flolagale/mailin,168295,NPM,mailin,17,Flolagale,mailin,8711119,2,1665,1850,6,178,49,0,0,0,0,0,1,4
826,mobify/mobify-code-style,171058,NPM,mobify-code-style,23,mobify,mobify-code-style,9550635,2,1625,104,34,821,18,12,1,74,100,0,1,5
860,mozilla/marketplace-constants,294458,NPM,marketplace-constants,1,mozilla,marketplace-constants,11826764,0,1630,3,8,115,1,92,32,179,135,6,0,3
865,nodejs/node-gyp,297761,NPM,node-gyp,672,nodejs,node-gyp,22184029,29,2441,3175,56,192,746,0,1,0,0,17,2,4
869,rvagg/pangyp,300236,NPM,pangyp,25,rvagg,pangyp,15157734,9,1362,43,3,33,2,5,0,1,1,0,11,1
882,novnc/websockify,330591,NPM,websockify,2,novnc,websockify,52652196,0,2828,592,3,37,65,0,0,6,0,6,51,6
888,hammerlab/varcode,334765,Pypi,varcode,4,hammerlab,varcode,13508511,1,1426,36,11,622,79,274,526,230,143,1,1,4
899,ActivisionGameScience/assertpy,428375,Pypi,assertpy,1,ActivisionGameScience,assertpy,14088830,0,1395,130,1,220,62,0,0,1253,0,2,3,2
900,TestInABox/stackInABox,428730,Pypi,stackinabox,1,TestInABox,stackInABox,36448261,0,1349,2,1,34,9,1054,0,710,896,0,0,2
903,SparkPost/python-sparkpost,432165,Pypi,sparkpost,1,SparkPost,python-sparkpost,16097935,0,1349,76,21,307,71,0,3,0,0,1,1,3
907,petrjasek/eve-elastic,432624,Pypi,Eve-Elastic,1,petrjasek,eve-elastic,6481508,0,1787,68,3,205,13,1,223,280,0,0,1,2
909,fedora-infra/fedmsg_meta_fedora_infrastructure,432896,Pypi,fedmsg_meta_fedora_infrastructure,1,fedora-infra,fedmsg_meta_fedora_infrastructure,2462453,0,2143,11,25,1544,82,0,0,11,6,2,0,3
911,yahoo/redislite,432964,Pypi,redislite,1,yahoo,redislite,17017296,0,1317,422,8,250,25,0,0,0,0,0,0,2
912,rtfd/recommonmark,433166,Pypi,recommonmark,1,rtfd,recommonmark,22079584,0,1170,188,6,84,15,0,0,13,0,17,0,2
913,python-openxml/python-docx,433443,Pypi,python-docx,1,python-openxml,python-docx,5995748,0,1821,1289,21,1077,217,0,24,1,0,0,0,4
915,respondcreate/django-versatileimagefield,433753,Pypi,django-versatileimagefield,1,respondcreate,django-versatileimagefield,37197040,0,1737,147,4,73,23,0,0,0,4,10,0,6
